date,nbs_sow_mn,muyuan_sow_mn,source
2021-06-30,45.64,,NBS peak
2022-04-30,41.77,,NBS
2023-12-31,41.42,,NBS
2024-04-30,39.86,,NBS cycle trough
2024-12-31,40.80,,NBS / GS Exhibit 9
2025-03-31,40.39,3.49,NBS / HSBC Exhibit 5
2025-06-30,40.43,3.43,NBS / HSBC Exhibit 5
2025-09-30,40.35,3.31,NBS / HSBC Exhibit 5
2025-12-31,39.61,3.23,NBS / HSBC Exhibit 5
2026-03-31,39.04,3.13,NBS / HSBC Exhibit 5
2026-06-30,37.80,3.11,NBS 16-Jul-26 (Wei Fenghua): -2.63mn y/y (-6.5%); 100.8% of 37.5mn target; Muyuan sows per co. data ~3.113mn
